filename	type	from	to	entries
H4 6481 (8,1_0104.jpg	gap_inside_scan	207	210	204,205,207,210,211,212,213,214,215,217,218,219,220,221,222,223,224,225
H4 6481 (8,1_0141.jpg	gap_inside_scan	442	445	442,445
H4 6481 (8,1_0142.jpg	gap_before_scan	446	449	449,450,452,453
H4 6481 (8,1_0181.jpg	gap_before_scan	732	739	739,740,741,742,743,744,745,746,748,749,750
H4 6481 (8,1_0194.jpg	gap_inside_scan	848	851	848,851,852,853,856
H4 6481 (8,1_0194.jpg	gap_inside_scan	853	856	848,851,852,853,856
H4 6481 (8,1_0203.jpg	gap_before_scan	910	913	913,914,915,916,917
H4 6481 (8,1_0221.jpg	gap_before_scan	1023	1027	1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1040
H4 6481 (8,1_0224.jpg	gap_inside_scan	1060	1064	1058,1059,1060,1064,1065
H4 6481 (8,1_0242.jpg	gap_inside_scan	1191	1194	1190,1191,1194,1196,1197
H4 6481 (8,1_0245.jpg	gap_before_scan	1203	1206	1206,1207
H4 6481 (8,1_0260.jpg	gap_inside_scan	1296	1299	1293,1294,1295,1296,1299
H4 6481 (8,1_0272.jpg	gap_before_scan	1376	1379	1379,1380,1381,1382,1383,1384,1385,1386
H4 6481 (8,1_0282.jpg	gap_before_scan	1448	1451	1451
H4 6481 (8,1_0287.jpg	gap_before_scan	1486	1494	1494,1495,1496,1497,1498
H4 6481 (8,1_0317.jpg	gap_inside_scan	1679	1683	1679,1683,1685
H4 6481 (8,1_0321.jpg	gap_before_scan	1708	1711	1711,1712,1713,1714,1715,1716,1717
H4 6481 (8,1_0343.jpg	gap_inside_scan	1850	1853	1850,1853,1856,1857
H4 6481 (8,1_0343.jpg	gap_inside_scan	1853	1856	1850,1853,1856,1857
H4 6481 (8,1_0350.jpg	gap_inside_scan	1891	1895	1891,1895,1897
H4 6481 (8,1_0362.jpg	gap_before_scan	1968	1975	1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
H4 6481 (8,1_0406.jpg	gap_inside_scan	2225	2228	2224,2225,2228,2229,2230
H4 6481 (8,1_0418.jpg	gap_before_scan	2289	2297	2297,2298,2299,2300,2301,2302,2303,2304,2305,2306
H4 6481 (8,1_0419.jpg	gap_inside_scan	2307	2312	2307,2312
H4 6481 (8,1_0420.jpg	gap_before_scan	2313	2317	2317,2318,2320,2321,2322,2324,2325,2327,2328,2329
H4 6481 (8,1_0432.jpg	gap_inside_scan	2414	2417	2414,2417,2418,2419
H4 6481 (8,1_0433.jpg	gap_before_scan	2420	2424	2424,2425,2426,2427
H4 6481 (8,1_0447.jpg	gap_before_scan	2533	2540	2540,2543
H4 6481 (8,1_0447.jpg	gap_inside_scan	2540	2543	2540,2543
H4 6481 (8,1_0452.jpg	gap_before_scan	2565	2573	2573,2574,2575,2576,2577,2578,2579,2580,2581,2582,2583,2584
H4 6481 (8,1_0465.jpg	gap_inside_scan	2665	2669	2662,2663,2664,2665,2669
H4 6481 (8,1_0487.jpg	gap_inside_scan	2853	2856	2846,2847,2848,2849,2850,2851,2853,2856
H4 6481 (8,1_0490.jpg	gap_inside_scan	2869	2872	2868,2869,2872,2875,2876
H4 6481 (8,1_0490.jpg	gap_inside_scan	2872	2875	2868,2869,2872,2875,2876
H4 6481 (8,1_0491.jpg	gap_before_scan	2877	2880	2880,2881,2882,2883,2884,2885,2886,2887,2888
H4 6481 (8,1_0495.jpg	gap_before_scan	2900	2904	2904
H4 6481 (8,1_0498.jpg	gap_before_scan	2919	2925	2925,2926,2927,2928,2929,2930
H4 6481 (8,1_0500.jpg	gap_inside_scan	2934	2937	2934,2937,2938
H4 6481 (8,1_0503.jpg	gap_before_scan	2951	2954	2954,2955,2956,2957,2958,2959,2960,2961,2962,2963,2964,2965,2966
H4 6481 (8,1_0505.jpg	gap_before_scan	2973	2976	2976,2977,2978,2979,2980,2981
H4 6481 (8,1_0538.jpg	gap_before_scan	3198	3202	3202,3203,3204,3205,3206,3207,3208,3209,3210,3211,3212,3213
H4 6481 (8,1_0665.jpg	gap_before_scan	4180	4183	4183
H4 6481 (8,1_0806.jpg	gap_inside_scan	5246	5250	5244,5245,5246,5250,5251,5252,5253,5254,5255
H4 6481 (8,1_0807.jpg	gap_inside_scan	5264	5267	5256,5257,5258,5259,5260,5261,5262,5263,5264,5267,5268,5269
